"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Xer","lJr5_VM0d2qWyTy1p1y6KcV14fFATV4V4hfsGebpb8EPq45J",30,50,34,84,59.52
"Yue","_9_NSXzb1kp_DkQRFc4XsfYsStx8-eNf4RJFoHM64srm21U",42,25,17,42,59.52
"MistProdigy","-XiX7Wg--5rnQMhP315U5e27okjURixDY0cNBDgPk_B9AqA",1,97,66,163,59.51
"Kumokichi","Uxez8wgkec1qc9R00FWWRaTlvZJEAla2k_hrf5AABP0eMFM",20,97,66,163,59.51
"Chijaii","FEHxFXH0I3ULM7AASvduWKhED-ULhKmDUL6bBb8MaQXRDh8",36,129,88,217,59.45
"darkshadowspirit","APAM-MBbN8YnJE1nMF8TKeSI-eEhwIuGKM0DRObrCvRDwkQ",1,107,73,180,59.44
"Maitienie","pquFuchON1J5_JjQkD4CyyjEqR75ALtXlZnd9OYOUhwnIa-d6jlvbhQT_A",317,107,73,180,59.44
"EDGlittlestory","bgRs7oA7PjyfroGB60luJQLtuOyy0dNjHq3wGxcqBOE-zArmmNM4Con1VQ",90,126,86,212,59.43
"Jamb","YPEp82gDEpcOJ_y9fHzUA5TTiP4IGXuUGynYpfd53h4J1LmAhD4i6PUkjA",202,123,84,207,59.42
"Plz No Ganks","jw4-BrbstBlxqZPvsvimnY7Ym-Z4LLm3tIdI_be2HIh4M8kw",161,136,93,229,59.39
"QuinnAD","phF0o3VRwRdAfO5Rvh0o4QJmiSqz7LxXByE8KWq4rrtx7a8",218,38,26,64,59.38
"Wolverines","4JyU4jGWlbNzg91WKdyeq-JFrgEH91NxeTX67Mq6ciDbB9A",370,114,78,192,59.38
"Kanbi Nè","pFHM1kTrDOcrDblWs0luiH2W7zShGPre9q1rYBAj4B536tB1",1,111,76,187,59.36
"Gu shou li hua","MMwkAl5gl94uz-sCy5XRiNMjL9yIjcUsahw8Q2GflKdf3BL6",143,73,50,123,59.35
"Zazzychenko","ygbJCNkIiowFRg1o9aDqhqKd61O1RHfQfMuI8303AZIl0Wn29d1X29d6Vg",1,83,57,140,59.29
"Blettedva","_q7ybmEEFStvL8CLk8Luw1E8ZkQz0GuQcAQJc8gzUNhCUrm6ervvmzKE9g",26,96,66,162,59.26
"T P zs","HtS-oZuhRqv07ckuWRdZMxrtJyL3NRlt0AqYE7Mps7V6Se4",1,32,22,54,59.26
"gamer kitten","Y82UwNJRLu1k8eTfp908Lq1Az_aMJOdvPLx2_JGu_0-cBC7mTGzxwGj1lA",0,141,97,238,59.24
"FMJayce","yM_7nCBvX7DdalPSx94uwEAW1pkOpPjbwX5k_xfB-LwP9jY",1,125,86,211,59.24
"OGC PikaPika","9erEZsJguZiLYYHZT49OVvJcjViNpGREZZOm7nVtsAlrQqI",107,45,31,76,59.21
"PaiPaiKe","BvexIRbZSuZl0XUpk7s2E2d_-UUwQMe4ryJqQ4oCBCbJ1rA",89,209,144,353,59.21
"Zacster","USYRZLdv3UIyH6WoAi8zY0SZ0iCfxnU1gYUqIX7XRlod3EU",36,74,51,125,59.20
"The Night Lord","YQQYPJsZTmn-UyXqNfzzD_2dOf9CgoeAllbqOIj3qiWFQ_ixzNEZi5zRxw",65,103,71,174,59.20
"Refill","mkE9gbjRkV3pKnKENc-J2Ay-3rlkY-C8lnRR5XP39qxEGnM",61,100,69,169,59.17
"movetotheplay123","uhqYUR-nuV_3qkgnbmKTK51ZEkZM1TIpMmKRYmNfTqMB2RbU-M4wpQfzcg",121,94,65,159,59.12
"vinni the pooh","nwIFy_BLkAyO-VhganLNEjK3v9d1pfWf_sjy7ytGmVaQam8",40,81,56,137,59.12
"dingleberry bob","XMtLvQwYAH1KiWQlJBd5pW_Uo4WHI_QoXOj65o517eKtfFnn",198,91,63,154,59.09
"Negativity","BtMNFgLOoSpUlZAWmpDlZYla7kyfyAJIylthZRzIkUQw7vs",1,26,18,44,59.09
"Predator27","eoc_drBbxrbddRCMMGYQogZOBnANMBDXU-LnP8J7l_Aa",465,78,54,132,59.09
"eolle","yoowX01QV3ouVTmEBXV4EWLc5g0aZcSBJmF-Pfu2nKaymZblou1prOgICQ",95,114,79,193,59.07
"whitewash78","FFOQ9j4HD65Mht9huuNLtBJH-2j1nKxW6G0NCnFXqneTk-4",129,134,93,227,59.03
"TavernDrunk","UOS6I6CaoN2jZB8E0rZQzBdooe7DHd2Huz1ou63mLD9mwHE",246,82,57,139,58.99
"Aug 13th 2000","K_eqYH6lzgi90tS1EFpHAyfmJlsKzAtccLhYyflkle00sbHa",1,128,89,217,58.99
"Layne StaIey","TLEYYRGuge87Ueahqt1uEP64GtFBcPSxrkvbvtQ51g-1fTDW6l-FrWjEww",121,82,57,139,58.99
"IVY LEAGUE CHAD","nYzBGYbyJ5EsKo2LN5mPxjKwCud19LOr4452rP8kVlQP-Xc",209,233,162,395,58.99
"PC Seir","dYcOHTHFN--ErzQKyW-vgTSLOMPQx5D47QKRUuzzCzyKz9I",1,102,71,173,58.96
"FULL OF REGRET","BlPFT3jtcUuzQQMwAkmjgamAbnWdro2X4UEdWQtKAKzAmrw",209,79,55,134,58.96
"SaskioLoL TTTV","Cyhf-6K-_mTPgJM8jGKSw0jl3oRMQ_wNcG9tn_zX4iEJ-FE",296,148,103,251,58.96
"iDexter","U2BuXal0UK7Mc9DMwp_NsAOC0Qk8k3PIf4Q_8AoNqfFVICM",11,56,39,95,58.95
"Kp Ayou","_wPnXzwFE3b4LKBfg5LppWM4M-nHWTl7ra_IPORZfAp9pzc",0,122,85,207,58.94
"kknuy","Tyxn3GZsvUz6Au8Lblp-zkM6NHaYkvjCTWZWuotwG53q3VhbfI6HTe8GXg",154,162,113,275,58.91
"Rampage Sakura","EiWsrD9xclc-rtQCg6eSOrrNlGQam-gfs3q7dJhGY_PZv5A",20,53,37,90,58.89
"Plan B Survivor","s51_wZXsp04GFsFR0kHqAkmOpFlW75Je0y5CWZEWDiC0Jrk",116,106,74,180,58.89
"no udyr no shyv","mNtPRQ6dK6z6X5Z9DFKWtloSRpMgPiSHm2BLyeLQzrap-NXaTxoJg6-HiA",186,153,107,260,58.85
"Alerilver","YrkYiLRppc5XER1iv5Fsc6Mmlg4Yu-_uEKxOF_dNAHfxX-tebxuDh0GQNA",276,110,77,187,58.82
"He4venCr0ss","Avl8pNXNrTkLz2CAcWy0o2hUgBWS9oj_mZeP1D7wO9guySE",17,130,91,221,58.82
"aHowtoPlayDota2","4Q1Ow3qTeEuDxNSvBMqEAiYklvv1t01KZffJc-m2EG57JDn6UnvbQqUVNg",101,30,21,51,58.82
"Fà Ru Xue","W0a1jWLt7wu5hi9le3RMGRK4QNmR3txmio-gu4RL0gyHJOM",67,80,56,136,58.82
"Tulz1","ROHf3VrE2UPD7JV9k42SVjM4GXOVNiH4zRgVKgcwMjk8K7VRo7oyCHqOnA",355,60,42,102,58.82
"yamthony","lZGSPVIFXkmZQwvqCEg1PtT3Moth_wyP6tOkIZ-wKIs-b0U",191,137,96,233,58.80
"Discission","9FFKuTg-GL6r-Akhb_lLVysvaHxtbqY7g_pTy3mvCCdqI4EaQCQk6SfMPQ",290,177,124,301,58.80
"eLavieta","BprInqZHsoBoaBib6hUcQC9-kQR5b89Ev2sGTTA4FzoyJ-TFDLUGCPxAKg",229,124,87,211,58.77
"Yoneñ","eAMeFtn49ziF9jnUpfseYs41HlxyU2CK2Fu26jrdKNIskLA",144,191,134,325,58.77
"Barboxe","gIyv8RqgKcDPuoNaLjKU40vwOcRUB5Dr2g8ZYt0RmY_BZmHD6kx8dp036g",204,161,113,274,58.76
"Norwegian Shawty","Bgzdtpvev9Q_app88zKeePwenv4hFd3C-2UheyQY1xQWmsuA",108,413,290,703,58.75
"maik","eLzajHa_6ISw9_IDc73m1NyogV645eOu9oogELlGqi1Xj0o",4,54,38,92,58.70
"Lowbob Breeder","4d83WK3hP1ut8RglEYJQOEvFeAIUiwFf7CbWKWq3hwiGkZNVUkqmnmxXXQ",1,152,107,259,58.69
"DengTiânHei","gd32uSpmU2pIuHJ3js_43b2_5oJPdXRNB9sLvwGS0_OPtrQ",173,169,119,288,58.68
"Twitch EdgeOfZed","2t04WozMYw6sykSttu9rLrMsFuNxyfCTZO0oN7i7yS22qRPzjuFa_yHX7w",184,115,81,196,58.67
"Cõke","MIPtaeQdZcEHqmDtdF2Vld5xMnytqdbH9D86W_umcjIsq9c",87,78,55,133,58.65
"Quas2","osxeZtqZxpT5vVBxxJLbUThJ8U1zc24MIoFIvxp4HaunhHo",464,85,60,145,58.62
"Haise 2","zTV4eCZCyDqLX_r2x1yrcI8MURwRjAecKdgcF_fB3ICi1PoH5oYd9Nwkgg",191,102,72,174,58.62
"Genius Susu","UCG-D66mLURCpdROFq2UvId84qjcFGDyptf6X52e3PhLnY0",1,109,77,186,58.60
"yadi7","B7Zrm6ccAYmSxus3Vs5KKDTFvSUMggAa-EyysDmsHLdNDzc",74,109,77,186,58.60
"RingTrue","PdQWvswQbcLlpemFJTxt4hZEuoTUIawj5AY-0k7zotB6YVKK1mKSlpe1kg",1,126,89,215,58.60
"MYP","xAC6U0oXjFT0czVlud8VNpR9rAntO7qMdMJf_nREc3gJLGm2Kad2dxPDPQ",59,99,70,169,58.58
"Derek Shin","OkyddEtu-ZV9nUm0i2dlTXhw90_GH4pQRprKF8nHdjlhUVA",0,147,104,251,58.57
"IvyBaby ","iO7al0xCNpTirH1XuGguNahldoyd11mqZYxGKjNRhsn_C7Y",407,82,58,140,58.57
"Eyla","aoexWdIBZIKjY-sFcCFZXZlvN2o4SMYIC4ZKBCnuCLiyiCL2TVPu5OT_Ww",150,113,80,193,58.55
"PartyShoes","Fn8IQkzVHHRI0ou9iSC7hdtq31LHjwTY_Tb5xFnUv9KlqpMo",14,72,51,123,58.54
"Nejire Hadou","-BDZuIGA4p8YyyB2uD9QBkIt2-3O8qWfORUJFzIrwoK7YGA",126,110,78,188,58.51
"i am noname lol","hzKxFmrrA58kpZgIosKvW1NKJPnIfDz3xofdWv7IVsxLRbZ0LzhvnXuvSA",186,93,66,159,58.49
"BoiImNotOk","VF1JYjEdS2e0QxDGxZE__hrp7eDptlPUqlL0qaR8aXpLoRDMP0_u9WwYxA",54,200,142,342,58.48
"TAKING SOULS","1cMd53keRa8gVn-pBmEHE8MDYIjXlB2sEURFWOsi7Aqq-C-7Cr2IoRnGFQ",151,38,27,65,58.46
"700 am","TuYu0gUMSxUy8Ai5rPjqlj83W56WaVQnr2uiYTYQ5oE-5hmUezK1D_24ZA",223,76,54,130,58.46
"dont expect","c9azLHlvBWS6YtXMRrL7ru5w7LPlnO3a6XofVhK5b4iBjeRYRVHj6e5O_A",165,114,81,195,58.46
"Daimiko","bCYkHi2OYXQCpSCissi2XN6YAj59TVMvNkD1xI6DeBJDVcI",358,76,54,130,58.46
"top cafe","1n_lG99H6nKN2Fqgsh_vWHASuoddd7yyAMqgIKJ6QmWy57c",15,152,108,260,58.46
"JJJJokerrrr","HQc7URwJJhYgWUjzbCW9rnlu-Z23l0VwxodFNL9BpVLE2Qy8",112,204,145,349,58.45
"r ep ort yi","1rWzYBxAwZJVx578mm46e5kpRbn11b_h-UhoZ2zX5vDr5ds_",164,90,64,154,58.44
"MexicanElf314","kDu2KcfMR8ocZA6qkZ7mJUvcNtFzAqEqOt0HUgacpkhyvATM",49,149,106,255,58.43
"ROÍD RAGE","YeKXvvj0KjzFFgRs-tFm6gJyND6v5yHIWXbH3s0DJ9r217d7GnsHZZzPaw",119,156,111,267,58.43
"noskill onlyluck","VVn3jz-vBQPJKVExJv1Fb23RXZi4aJl1ZlaisEmbjAfw214",6,59,42,101,58.42
"Tiansito","r5ImLqxPhUu7nrhI-Hkuj1Pk7IDOWPBSRElaC9jgB4_Hkbq2",206,215,153,368,58.42
"Conscientious JG","7OSicMUJWV2FETA4eU7-RG2Ha4IZ4YTnAdFfCpNX7eGTUUt8idu2eXOGZQ",238,87,62,149,58.39
"Wumbear","7vqH06dMvMaZoRRW8PdusxtkTRx2TlNJTZASugGxy-pw4RM",433,160,114,274,58.39
"Kíng513","Z0Xg7rNNKkiGRdHhPFOlKm-YWFv5-EcB6V0ian0Uk8YfsUmzSwhgff8ihw",52,160,114,274,58.39
"Terence Kim","GwE4NVTQDiUHdCSg9sMKPN2ZpKVihdS8T4VU40FJ40sL7bWWxADBjGzQKQ",134,87,62,149,58.39
"º Ÿû º","z3GqYu99h54DXK--KK84m7dOH-o7dFeRfHrDMPHw4_SzNA3uksIA821tFA",43,122,87,209,58.37
"TOHSAKA R1N","Y7wsBFTWIUUUtZBw9BoZTSmq92o56-TjvNWBHdZ5ykSefIs",1,136,97,233,58.37
"L4rry Fisherman","oik8285zdNXwesxWLyMaSa1o53zdgjx3HPCE913UukC8A8fo",378,91,65,156,58.33
"Cougare1","wYchStRr3HI8fShtbTAy-VD7O1LrnnmeVM2-73r1rSiJ3bQNM5WgoC7HMA",161,49,35,84,58.33
"lazy cs student","kB3zcUXUYBKh35AMQhBehF0enX1o7HrIKxXR7-zdtZjeRC0",34,88,63,151,58.28
"Phewellynn","Ht_lksgtE65flHDZm5Esh1soyMudwuTqKoksZXuAKTRi7D8w9CZQazxKFQ",34,169,121,290,58.28
"sangy","u19d3tSAi9z3gw8Feb3Oe0gfe5lbZTmWpgubEEA9OKK_YUY",150,74,53,127,58.27
"TwTv Thorntrail","oey9uwseJ4SWY7I_RCr7C5MrRji0aPQU32xhZPw4a7rxQLPJNth7FATTvQ",377,236,169,405,58.27
"IIIlIIIlIllllI","OsmDeiXIoLMFuTe0yaOS2ParUuaapHCceuJi4VQUC5NEbTrZ2ZAfF45xdg",364,99,71,170,58.24
"blazing platinum","ROj0v3ryQTPBXNt9SgbN0m6KcWZG0Tn14J4bnrb2aoIfKV9q",1,138,99,237,58.23
"Just Yòu and Mi","fyr_TPzeTk_opN0WZuTeQFO3e6BzGSdo0DZ8HjfhN-MbS88",457,177,127,304,58.22
"Xiao Suan Nai","Ildv1vmo4tvrWLvgWuBLEOqIQQuPwzRAUroChboyup4zCaI",419,78,56,134,58.21
"lpdpzf","ZWv7lptn_OLm1a3JxmODB6job9gT9Q66PRNPeD7SHR_ktPG5Mk7hzqQg_A",1,110,79,189,58.20
"Bototoro","0NZ0SGONVfKLsSRwyQTXbgR3JQ9ADjy6Vi8Fx1aSgXzCBwg",15,181,130,311,58.20
"Ruxfi","k52HEqZhYnhO3FPIqHC04Q2D6r_u17COP2sl4m1gIiF6eFLwZJk5fipRpA",171,181,130,311,58.20
"bioniclebuilder9","v42uXlm7iAUl30zYrGrHQoALX1nZ4FnleZinPxib7218frYJBkPe8E98YQ",70,135,97,232,58.19
"Alonso2","9YKk_ZbKqj_vSKhamSfm7i6QKat_oByXVJXYfKYp8DDtiEKxN6NnEjUnNg",103,82,59,141,58.16
"Mrstart0ver","B-ErZJglNSatA0Y2dOzIMdkfNqp_K2NK1ZzpTYGm4mRtz1d5d4naoKoHLg",116,196,141,337,58.16
"anywxys","aQSsu0N4Za9Bd8ZrxdbkTbsDwFPogjymyMukdBSDgd89BCA",0,57,41,98,58.16
"maiº","j8eP3HdV9w3st2CwA5huuQGVfCFC0ZOMvaJrJ0AN9Itw0l3d",1,189,136,325,58.15
"krazy81","NvSIn9ECkhwGZreIVyHmGo0QjBkCWWRMaWK2FSc0vTs52Lo_",139,75,54,129,58.14
"badluck20384","eipfdYBddQDD1TEExP6eLQOpco-iSW6RrUjxI2Zp1bDIViM",0,286,206,492,58.13
"Wishless","WqUlNm7xYaK3CAzakh8Ofa7q6WPorr3Xy1iNYz1lLIfK_ls",258,61,44,105,58.10
"TaMèReDaNsMoNjAc","-5RsJTkz-kCNhnBv4Q4wlfcdkMlPBeAIfc96mbJ72hLzYfE",0,97,70,167,58.08
"Grandmas goose","tOUBo6brZme5iUIS05SSlR9ctPmMJTF6wPMnlUfIJpuIBpj73nur194Eug",100,133,96,229,58.08
"AdorableDING","TbcV3vO1DtNuxpZ_8P6_22-nsI63ZucIEB8I9_YTJweNGFI",145,212,153,365,58.08
"SSSora","f8cQgo-htggEKN69px5Cnz3F93K2vTsYrxINuqG5W32gn90",1,180,130,310,58.06
"Brillant","eVEPyhyjnN6EQ_E6mVAsMo6LYu-MzXVTnGojj2_LhlTC00Q",36,126,91,217,58.06
"tenticklesˉ","X0vg-MeqWTFuxR9zuhrSHan4rvnyD9gtnMA9Z29YsDksPtg",304,90,65,155,58.06
"modo sério","jT3urrBQgSniYN1mw-cPxijmuJKFlnfQwZhFaCWHQeJLtUIh4VYaS7p-BQ",26,83,60,143,58.04
"KAT4RINA","VhOs0NY_7wbszD6xGMLjpxInUu0b1UKYk6On6ALiOiE-x-hY",54,231,167,398,58.04
"hope u improve","8Dv67SzI5UUVYXVXSGmLaNgdxxYroMPdZgH4TN9oBalm6BQ1",0,123,89,212,58.02
"ezclapz","fuudT2ubr-oPDB4dV1ze7zRBqhzu7BI2lxxIK0ALCq_DUcs",18,141,102,243,58.02
"ASSASSlN","E1cTOQZPlbTQJR9gr7TrAYlJmqwKq7RiMzsAgVMWG0WoL2X7",47,58,42,100,58.00
"Niikaido","_Zb_TNdGsyAPDmGAjEPmYjro1RorVe241iR5ev2fcan99Y8",431,98,71,169,57.99
"KryRa2","V0NAedDdHeKZGdxJcoEr1UyxoIQieaMbjjyw4rUxCcgZ6JwUHa47J_-B2A",27,73,53,126,57.94
"Monory","TfsJMWjhlKmD2kJMhPyzg4pkLBcotjuAbs1IX75wknlbUnoR",1,259,188,447,57.94
"Kimertonadar","ZBVpQW5anAr9Yh0zFip7dNWxnqGboA3H9szp5u8H3ysx1W7oiHHFiRPRww",225,157,114,271,57.93
"Ginger QT uWo","TSQKK77lzaM_XL5Fw23ZZRicy0pMiN8GCTrH8gbFGm3OLiaeToESyrJOtQ",304,274,199,473,57.93
"sad world","03ZbvHRtE0OQAwktwa-Kl9R8WnPm2E3jq9YNxBTck3IP5GAf",181,77,56,133,57.89
"neopets lover","G3xITyJYDywgm3ZkBIuEbZKgwojbsiLpaCcyQq8ziu2pRpA",188,125,91,216,57.87
"desire to win","7wkvuI-3B36POXT_qbcWku2O9KqYsOiL5NqOqpwv_r9eV5g",114,70,51,121,57.85
"XXXHJJ","fXm9Zn0vot_juZGeK7S-VrbHHwgETxQkMA2Hp75PrIZ9GYM",124,59,43,102,57.84
"Sakura 648","XEKhOqeIfiHaGS_EvOgLncPjhIiG6RPZkLgFKbaBoc3Tg9IWyj3dbjxxNA",272,107,78,185,57.84
"4zeer0","liyGc58Y_m8102kXgOHYCaMN91AZAxEAybbbqF5i7upnNr8",335,133,97,230,57.83
"EdmundDDuang","9mHqDrQVwxWhtCnBJ789NyOElURjBvGEZyi5bseg1yswARc",223,230,168,398,57.79
"XayahsMommy","f96YIEUD8-0-0I8zJzqqxW3XaJHKuhE4KfCwAdH2YjTFPc7q",0,234,171,405,57.78
"Coming","alc4tqlk4Ng_ItviozOIMwo2vtNckgZSX_QfcyKVCA77bHA",1,97,71,168,57.74
"holychickencows","j6-hrDcZ6r-2DyBIevdtYt4ujs7HKYsNTkuHRW8CQydX6wk",225,220,161,381,57.74
"Suppincarnate","NfZhQvdlaqPwm16evhPdWeMo6bIILU-RS3W9xvjF1ZNpfkoVdNwDpV5UgA",176,56,41,97,57.73
"Fidd 2","NCkcK1yuouBKSiPzJMRiOkXgovPSQmSg5rMkRD3b4Jc8zQw",140,56,41,97,57.73
"BlackVelvet Rose","zz_nqn5Nv9LvTUsmB1Bkp1GT6pRUDBzz0JmSI7d64mFkKsY",16,71,52,123,57.72
"dds","LkSJ3VDgm_LmbbCJmt5oqIrR8YjmaOWTJkuTah8M1-ETej4",44,157,115,272,57.72
"ShowMaker","IFki69IJiS1QF9akE3kaCWHWg5b0Mh9xPcgC9hS6XVRH9RMm",300,116,85,201,57.71
"KojoNegi","OLPFaPX8AT9YMOJ6O5Vjz1QcsR1S9Zv5pCgzKCulxhSM1g4",179,131,96,227,57.71
"PinkPanther605","ADMulzDhbqGoGENSOO7i06fxqXKy84lxX3gZymJ1sM5rlBc",192,90,66,156,57.69
"oomfs","-ejiZQq9qO3d4YBH4TyXKQtIR6kL8QF0SMZK39ugEy-06WEnAjXcvyrQ_Q",58,60,44,104,57.69
"Druanee","gX5mI7Sf0G2GeG6r1Gqbk6ZthO_9qYrTDcNBMdtxk9EDJ2n78dI7E-5qDA",54,75,55,130,57.69
"V0idWitch ","gUGwYG2rBV64HUKitrS6sgL08mQI4lOabIL5Xa9toUXCbMs",93,120,88,208,57.69
"DragonSlayerGrey","zHy3o3wtpaEZ0T-TII9Z_8i6JicnByh-27_yCSWRvoxj54Ik",432,94,69,163,57.67
"Gezi","8-BKQ2BXdYf1teS3-8KvHsC0zqE5WxG1VFpVqmQH3aF9PCwx",1,143,105,248,57.66
"Mootah v2","Y6Bal8cLLwv-r1GPGzQVH4UZ-pezswOtccMCWwxUlqtlUXM",86,79,58,137,57.66
"Papa Chanman","Fa9Ct5hTrMAMXcVKzeOwYcbDxRbrhCDUx73a3h4Tk7qFuK4",511,192,141,333,57.66
"Saigonesee","DxS-7ve7shEv1plMVbkz-4I02pofnUECaGXJNb2BrHEEH1k",68,64,47,111,57.66
"Bandito Pandito","CexS4ny1udMew4cjAngMCJcv5U-vuLSSM7yqWxEGkBz-IxA",93,83,61,144,57.64
"Routine","SD0d06ioVPeBYSCSd4en-cC8l4U5P-DqNTzMAYF6-u-Isipdv3PtO664EQ",419,238,175,413,57.63
"Hide the Boba","O8SeE-Yt-F_yUnbsPSn3HvBjWXdPpgpiEqb5alo36w-bl8o",279,272,200,472,57.63
"solidarité","5ybtaK6wCaxU10A1FZwrzbCdXMf9EUs-hMjdeuAOGUdVXOM",1,102,75,177,57.63
"no yourself","DUzVDs0zJ676SnW1N6SKkR-ZBoVKk1p4DGgF7lgE-2yQFnf0",211,155,114,269,57.62
"Best Fiora NA77","yMmdKRy6-i1jW40e6DDFkUSR3J0m-FMp2e7zaDmI6RMEgVnf",59,212,156,368,57.61
"Aditya VasuDevan","9YPM-ru81CluDaie4KypAuIm7yNVbar2rBEfPWO-qcGPZJ8",43,178,131,309,57.61
"Vínyqq","cyp1KEfTDcqzkuamARDN-mB3XYC_hn_mnT9B_l39bjDxMoDo",226,57,42,99,57.58
"Saozhu","txwldsPyvSVJudE97nhPquF2j1EX15uR3EzIOEi117fvfD8",457,205,151,356,57.58
"bu yao fan wo","UTBZjdJBniI3Pkjm5IQuE1n5rUsp5r4NniXPJZuY1X_-429P",220,38,28,66,57.58
"ptangy","I2452k3ZQ34IX2oXTYqLQYXkjN7rLptBB-jbs_K7YlEYBKjhJDiQ9BaFMA",297,141,104,245,57.55
"xGuntae","J6huLqQy0wDfQnnw4jfSBxB5w35VGmXWmRV3cuA_LP76JsM",266,145,107,252,57.54
"graggy patty","DCiYry83cDGHrTZ-oYh74d_YUjlRgt98UHX1bj_e8U37s7G7",456,84,62,146,57.53
"crustylime","lIdQT-Li-t1UEY8Mr9-qYXc1jfBHqH6cDxzbnCnEXnRe_v7uTbw7NFgy-Q",1,111,82,193,57.51
"fatherfatdogcat","CXkCNPWi-a0t8PgB4yqAMUCCA08TnIlaOqvf-j1HKqEEtm4K",353,222,164,386,57.51
"Gg Boiz ","ElsjOe4w5Ul47C7Tt4yPkPwnF3rYHDZLWhVHjG2Hk-lg_m5G",1,69,51,120,57.50
"SharkToDaNado","g2Wb0NuQFwacMWKl5JoVUA4vZ-QkbGGef-y1hvE491TCJ7k",349,138,102,240,57.50
"Fan Kat","3FtuMuxeoyZxujSPH6mJy0_KJCQidYY_tqE0sCiqUkEA-pg",72,69,51,120,57.50
"Duo with ur Girl","aV92Q1L6nd4eOPRiAoJXStRtMe4uDzRRl5LwAhtkcLB0eyI",57,115,85,200,57.50
"Haroldjaxs130","hIrxcjw-cmD4Avix69nVKjEWPGk_MrA89RIvaSEKJiMzZ43TtXVjzsQTYA",19,161,119,280,57.50
"xMei","tqWXwB8ycnR7e1W3_e0bVoMH5Um_3LaDFECM5sD75RnCLug",117,123,91,214,57.48
"GIG ShinyRuo","khZIu8nokZcfo8fskXHMUE7RB7q9CBFbIYrrxVHOBWMH4-k",1,181,134,315,57.46
"Timur Turkmani","SHiiPTiUPX3AMfrn4qAMEoqRKpZM3Mqpf9hxfB3BfAle_2RN",169,81,60,141,57.45
"Woody Fruitloops","29faRSFaOSmtTE_LYAC4R2HDXXNUjRQ6mnI1moLY7n1N6s9s",295,135,100,235,57.45
"FeedaBoi","F2jwY8hvekaZN_CeVGCPGJwhnsiGlnRJblWRj2E4mwPvkvM",318,108,80,188,57.45
"TwTv Kowaiiicat","7Zs4rK8HYoXpSmDtJHBzq-BBwZdQqN_hmp-9eAMR9DXfMynb6wSpQvWlyQ",67,139,103,242,57.44
"Costco Sample","lEuj3Rs_BnxFAoTDfRK9rHP7TScpXcuoMVizoSfOVaAb0tV0czcsQr31QA",13,116,86,202,57.43
"Fei é Pu Huo","iZXvY1U-bdKjOfuipWJe1MFG14lKTEjdbpeW5ZMZYuBLI-E",1,151,112,263,57.41
"EnslavedXerath","O9WqYlbPz4lvPCJ1gJnFTMGB3eugGBIG2JK07PK4qlEtO9w",146,190,141,331,57.40
"RicardoLan","nlnUdNqj70WcBtxEx0vg9Mn2bHm4iX6DbjV-oQbOcCXPSuREgTbNlvQV5Q",300,237,176,413,57.38
"DMXX","hX7r6H-fHnd3qh8dBcrP4EHr6naqqrO0WLS25LHaFuENb7k",0,35,26,61,57.38
"sporo","2gY2NvN9BkIDb2vHipOOW4wM5gAaxwIqkcz99tD6sLypz74",79,179,133,312,57.37
"Seƒ","SHeoOc9BrYnISGCRUD31LzZ7dvACm7A9YjFv-klnpq0gzkI",35,144,107,251,57.37
"WX Nernerkat","IiBmYUkLUGh5uGdPnl8i_pgS8I8jrbs5_aGJ2DkO-jbPEJ_dgOZzQDHe6g",92,148,110,258,57.36
"walmart fakêr","SpOy38zhSdmLvl2aR2hfZ_A_hS0Iqr0q8lVudrimF5wutLQ",74,78,58,136,57.35
"spine09","LHh7ZPaxTXdyxL1j86QRCKzHZPwIGW16S_FoHm7VCUTHK0g",348,168,125,293,57.34
"MieMie DOG","N-dq_GVQKlSzQvqGvjefQb6E4cCHq04CZM3pXlKAmufIiX0",73,86,64,150,57.33
"TIMËLESS","8uROop85yZvF-LhTLpyduJ2cYjGt2KNqAHm6_1TjfUSHTYU",298,133,99,232,57.33
"asdfhjklahsd","nHWfoXKU5jL34MyBVCSGik2QxEQdz9LmVbPBk3VwZG4nz5RUqVe4P13QJg",209,94,70,164,57.32
"Wândàdàn","KbPBKJvjusM6Ke7NMBR05tbDt9KeHuJmCtZelnc4YmAyCggDRSn-9XVs0Q",235,184,137,321,57.32
"Reading Waves","zcAZF3mHVbLH-jUIs9KvsE8PJYeW4vhflWXfzOrsv4zv7dEludZYBxmkiA",75,149,111,260,57.31
"IIIIlIIllllllII","ieL2WlLpQqN_1EM7JIgYfaGTuDdC9SIOhVD01Hb_cYPg-J0",0,51,38,89,57.30
"NTNA2","x1xz881MhW9Vl5TT4ZzbjkSvhpwzgpizlTvr1UjpmgqIW2kl",140,102,76,178,57.30
"Nezuko Kanao","GTgdI29PUCEX7ZYEEHdJp5otBHH6ru2Uh088LK7lhGBNiiYZEiMoFr9RVg",1,106,79,185,57.30
"roll5","vIaj8SbhS3UcdNJRbV5AgL3v23u1ExCYy81_fktG5JeBrYY",1,55,41,96,57.29
"MyPact","2FN5tb5iEiQU_lwvHPGxcvkT5nUbngP2UlUEqr2iEaIXF-6Fh9hHD0dycA",190,126,94,220,57.27
"Almond Milk i","SCzTEu_aPmsUG7SAL2tDfoHuPTadGnEUFqd9ey_iPSVP-_Q",112,138,103,241,57.26
